doc_id,year,state_district,filing_type,last_name,first_name,prefix,suffix,filing_date,pdf_status,pdf_type,page_count,pdf_bytes,pdf_path,pdf_url
10020622,2018,TN06,C,Corlew,Bob,,,5/3/2018,stashed,text,8,107366,data/stashed/pdfs/2018/10020622.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10020622.pdf
10022395,2018,GA06,C,Abel,Kevin,,,5/15/2018,stashed,text,22,167796,data/stashed/pdfs/2018/10022395.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10022395.pdf
10028498,2018,LA05,O,Abraham,Ralph Lee,Hon.,,6/14/2019,stashed,text,7,101811,data/stashed/pdfs/2018/10028498.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10028498.pdf
9114116,2018,,W,Abrams,John E.,Mr.,,,stashed,image,1,33572,data/stashed/pdfs/2018/9114116.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9114116.pdf
9114083,2018,NC00,D,Abrams,Marcia Karen,Dr.,,10/11/2018,stashed,image,1,33465,data/stashed/pdfs/2018/9114083.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9114083.pdf
10023933,2018,MI10,C,Accavitti,Frank,,Jr,6/12/2018,stashed,text,6,100340,data/stashed/pdfs/2018/10023933.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10023933.pdf
10022683,2018,NY05,C,Achille,Carl H.,,,5/23/2018,stashed,text,2,59984,data/stashed/pdfs/2018/10022683.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10022683.pdf
30004423,2018,NY05,X,Achille,Carl H.,,,5/22/2018,stashed,text,1,45055,data/stashed/pdfs/2018/30004423.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/30004423.pdf
10023153,2018,FL27,C,Adadi,Elizabeth,,,5/15/2018,stashed,text,2,55421,data/stashed/pdfs/2018/10023153.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10023153.pdf
10028482,2018,NC12,O,Adams,Alma Shealey,Hon.,,6/12/2019,stashed,text,3,62131,data/stashed/pdfs/2018/10028482.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10028482.pdf
10023476,2018,NC05,C,Adams,Denise Darcel,,,6/15/2018,stashed,text,5,93428,data/stashed/pdfs/2018/10023476.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10023476.pdf
9112795,2018,,W,Adams,Dion,,,,stashed,image,1,30028,data/stashed/pdfs/2018/9112795.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9112795.pdf
9112897,2018,,W,Addis,Paul  David,,,,stashed,image,1,28762,data/stashed/pdfs/2018/9112897.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9112897.pdf
10027108,2018,AL04,O,Aderholt,Robert B.,Hon.,,7/12/2019,stashed,text,5,72604,data/stashed/pdfs/2018/10027108.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10027108.pdf
30005718,2018,AL04,X,Aderholt,Robert B.,Hon.,,5/15/2019,stashed,text,1,45158,data/stashed/pdfs/2018/30005718.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/30005718.pdf
10024652,2018,TX12,C,Adia,Vanessa Michelle,,,9/8/2018,stashed,text,3,84171,data/stashed/pdfs/2018/10024652.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10024652.pdf
10026039,2018,CA31,O,Aguilar,Pete,Hon.,,4/23/2019,stashed,text,3,86810,data/stashed/pdfs/2018/10026039.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10026039.pdf
10024608,2018,CA19,C,Aguilera,Justin,,,9/5/2018,stashed,text,2,56568,data/stashed/pdfs/2018/10024608.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10024608.pdf
9113901,2018,CA19,C,Aguilera,Justin,,,9/20/2018,stashed,image,8,273773,data/stashed/pdfs/2018/9113901.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9113901.pdf
9112664,2018,OH12,C,Albertson,Ed,,,4/17/2018,stashed,image,45,1664035,data/stashed/pdfs/2018/9112664.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9112664.pdf
10024613,2018,MI03,C,Albro,Catherine,,,9/5/2018,stashed,text,2,57379,data/stashed/pdfs/2018/10024613.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10024613.pdf
9113930,2018,,W,Allen,Edward Charles,,,,stashed,image,1,32550,data/stashed/pdfs/2018/9113930.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9113930.pdf
10021836,2018,GA07,C,Allen,Kathleen,,,5/8/2018,stashed,text,7,102338,data/stashed/pdfs/2018/10021836.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10021836.pdf
10026208,2018,GA12,O,Allen,Richard W.,Hon.,,5/15/2019,stashed,text,15,140806,data/stashed/pdfs/2018/10026208.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10026208.pdf
10023341,2018,CA52,C,Allman,Michael,,,5/15/2018,stashed,text,25,171332,data/stashed/pdfs/2018/10023341.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10023341.pdf
10020130,2018,NJ11,C,Allocco,Patrick S.,,,5/13/2018,stashed,text,2,56933,data/stashed/pdfs/2018/10020130.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10020130.pdf
10023291,2018,TX32,C,Allred,Colin,,,6/20/2018,stashed,text,2,55414,data/stashed/pdfs/2018/10023291.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10023291.pdf
30004675,2018,TX32,X,Allred,Colin,,,6/6/2018,stashed,text,1,45291,data/stashed/pdfs/2018/30004675.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/30004675.pdf
10025285,2018,TX32,A,Allred,Colin,Hon.,,3/10/2019,stashed,text,3,88945,data/stashed/pdfs/2018/10025285.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10025285.pdf
10028025,2018,TX32,H,Allred,Colin,Hon.,,6/16/2019,stashed,text,3,88345,data/stashed/pdfs/2018/10028025.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10028025.pdf
