Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Aronoff	Phillip Arnold		C	TX29	2017	2/5/2018	10019835
	Aronoff	Phillip Arnold		D	TX29	2017	1/12/2018	9112265
	Aarestad	David		C	CO06	2017	8/24/2017	10017296
	Aarestad	David		X	CO06	2017	6/7/2017	30003319
	Abatecola	Bill		D	AZ03	2017	5/2/2017	9110700
Mr.	Abdulahi	Jamal		C	MN05	2017	3/16/2018	10014541
Mr.	Abdulahi	Jamal		W		2017		9112613
	Abel	Kevin		C	GA06	2017	12/20/2017	10019357
	Abel	Kevin		X	GA06	2017	11/14/2017	30003800
Hon.	Abraham	Ralph Lee		O	LA05	2017	6/26/2018	10021483
Hon.	Abraham	Ralph Lee		X	LA05	2017	5/3/2018	30004104
Hon.	Abraham	Ralph Lee		X	LA05	2017	6/22/2018	30004841
Mr.	Abrams	John E.		C	NM01	2017	6/13/2017	10017745
Dr.	Abrams	Marcia Karen		C	NC00	2017	2/7/2017	9111122
Mr.	Adair	Glenn Daren		C	TX06	2017	4/27/2017	10015633
Mr.	Adair	Glenn Daren		W		2017		9111964
Hon.	Adams	Alma Shealey		O	NC12	2017	5/15/2018	10023213
	Adams	Denise Darcel		C	NC05	2017	6/14/2017	10016563
	Adams	Denise Darcel		X	NC05	2017	5/22/2017	30003275
	Adams	Dion		D	MI04	2017	11/29/2017	40001034
	Adams	Kimberly		W	VA10	2017	11/3/2017	6261
	Adams	Kimberly		X	VA10	2017	8/25/2017	30003647
Hon.	Aderholt	Robert B.		O	AL04	2017	5/15/2018	10021496
	Adia	Vanessa Michelle		C	TX12	2017	5/6/2017	10016157
Mr.	Agnew	Eric		C	WA05	2017	8/21/2017	10018709
Hon.	Aguilar	Pete		O	CA31	2017	5/7/2018	10021078
	Ahmad	Nilofer Nina		C	PA01	2017	1/31/2018	10019791
Dr.	Ahn	Jason		C	CA34	2017	10/31/2017	10019105
	Ahn	Poga		D	WA08	2017	7/11/2017	9111377
	Ahn	Poga		W		2017		9111689
	Ahn	Robert Lee		C	CA34	2017	4/1/2017	10014715
	Ainge	Tanner D.		C	UT03	2017	7/16/2017	10018159
	Albertson	Ed		C	OH12	2017	10/27/2017	9111939
	Albertson	Ed		D	OH12	2017	9/19/2017	40000931
	Albro	Catherine		C	MI03	2017	1/16/2018	9112280
	Albro	Catherine		X	MI03	2017	11/14/2017	9112038
Mr.	Alemayhu	Ted Mesfin		D	CA37	2017	4/3/2018	9112623
Mr.	Alemayhu	Ted Mesfin		X	CA37	2017	6/28/2017	30003314
	Alexander	Sherrill Kenneth		C	TX35	2017	12/13/2017	9112187
	Alexander	Sherrill Kenneth		X	TX35	2017	11/9/2017	30003743
	Allen	Edward Charles		C	TX24	2017	7/3/2017	10018000
	Allen	Edward Charles		D	TX24	2017	7/7/2017	9111380
	Allen	Kathleen		C	GA07	2017	7/20/2017	10018201
	Allen	Kathleen		D	GA07	2017	7/27/2017	9111483
Dr.	Allen	Kathryn		C	UT03	2017	11/2/2017	9111959
Hon.	Allen	Richard W.		O	GA12	2017	5/14/2018	10020407
	Allen	Samuel		A	FL11	2017	8/14/2017	10018639
	Allen	Samuel		C	FL11	2017	8/14/2017	10018616
	Allen	Samuel		X	FL11	2017	8/25/2017	30003674
	Allman	Michael		C	CA52	2017	3/11/2018	10019164
	Allman	Michael		X	CA52	2017	11/9/2017	30003762
	Allred	Colin		C	TX32	2017	6/18/2017	10017850
Hon.	Amash	Justin		O	MI03	2017	5/12/2018	10022423
	Amason	Thomas Marrion	III	D	AL02	2017	11/29/2017	9112129
	Amason	Thomas Marrion	III	D	AL02	2017	12/11/2017	40001050
	Amjad	Ayne		C	WV03	2017	4/30/2018	10018485
	Amjad	Ayne		X	WV03	2017	8/25/2017	30003670
Hon.	Amodei	Mark E.		O	NV02	2017	5/8/2018	10021463
	Andarza	Ivan Arturo		C	TX21	2017	3/2/2018	10019990
	Anderson	Bryan Neil		C	CT03	2017	2/22/2018	9112477
	Anderson	Jeramey Dewayne		C	MS04	2017	2/8/2018	10019861
	Andrei	Linda		C	NY23	2017	1/11/2018	10019678
	Angle	Sharron E.		D	NV02	2017	6/29/2017	9111335
	Anthony	Aaron		C	PA12	2017	8/8/2017	10015078
	Anthony	Stavros		C	NV04	2017	8/14/2017	9111616
	Applegate	Douglas Loren		C	CA49	2017	7/11/2017	10018093
	Arnold-Jones	Janice E.		C	NM01	2017	11/6/2017	10018164
Dr.	Arredondo-Lynch	Alma		C	TX23	2017	2/19/2018	10018645
Dr.	Arredondo-Lynch	Alma		C	TX23	2017	2/26/2018	9112476
Hon.	Arrington	Jodey Cook		O	TX19	2017	5/14/2018	10021830
Mrs.	Arrington	Katherine Elizabeth		C	SC01	2017	5/10/2018	9112825
